文件ID,CV质量10分，音声10分（20分）,DL号|社团|作者,FB,UC,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,内容cg丰富度（15分）,创建时间,剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,备注,夸克,封面,引擎,排雷 评价,搜索,攻略,更新日志,最后修改时间,游戏名大小,游戏性|玩法，好不好玩？（15分）,版本及更新时间等,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,百度,类型,视频,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",迅雷,预览
BAYJSLG148,,,,,,,2026年2月16日 02:23,,,,,,,【日式SLG/精翻汉化/全动态/全CV】 我的生殖活动记录/生殖活動記録 精翻汉化版+存档【500M】,,,2026年2月16日 19:32," 我的生殖活动记录/生殖活動記録 精翻汉化版+存档【500M】",,,,1,【日式SLG/精翻汉化/全动态/全CV】,未开始,,S,,
BAYJSLG149,,,,,,,2026年2月16日 02:23,,,,,,"游戏内容：
这是一款黑暗童话题材的点击解密游戏。
童话故事裡久负盛名的公主们被困在了一个又一个的梦境中，
玩家需要穿梭在这些梦境裡，然后观察场景，
并使用道具帮助这些公主和其他角色摆脱困难，
当然，你也可以制造一点小麻烦为难她们，
在这个过程中，很有可能于她们展开一场亲密互动。

游戏特色：
1. 20多个童话女主角，27种CG场景解锁！
白雪公主，匹诺曹，小红帽，小人国，人鱼公主等等应有尽有~
2. 全角色全程Liv2d动画，每个角色都有多种状态动画，丰富的微表情，自然的动作，
不管是温柔向你招手或是激烈的反抗都让人血脉喷张，反正你想要的全都有!
3. 每个角色都有大量奇妙互动！ 每个角色有5-12种以上互动，
不管你是喜欢温柔的抚摸揉搓，还是用鞭子蜡烛惩罚，
还是各种奇妙**玩具道具，都能满足你。
4. 每个角色都有语音！ 每个女孩都有自己的语音，
美少女与你互动时而在你的耳畔低吟，让你身临其境。
5.我们精心设计了每个角色的动作和姿势，使其表情和各种互动的动作都足够细腻和丰富。
6.最有趣的解密游戏，即休闲又烧脑，你永远不知道墙壁上的壁画后面藏着什麽让女孩又怕有爱的道具。",【互动SLG/中文/动态/CV】 黑暗童话：LOST2 STEAM官中步兵版+全回想存档 【1.6G】,,,2026年2月16日 19:32,黑暗童话：LOST2 STEAM官中步兵版+全回想存档 【1.6G】,,,,1,"【互动SLG/中文/动态/CV】 ",未开始,,S,,
BAYJSLG150,,,,https://drive.uc.cn/s/f40a8f1d9c1d4?public=1,,,2026年2月16日 02:23,,,,,,"一如既往高质量，唯一缺点是太大了，基本上肝完了，剩几个结局没打，存档可以直接看
",【直播SLG互动养成全动态官中】妖狐的深夜直播（妖狐の深夜配信） STEAM官中+全DLC+存档【12G】,,,2026年2月16日 19:32,妖狐的深夜直播（妖狐の深夜配信） STEAM官中+全DLC+存档【12G】,,V250630,,"1 https://pan.baidu.com/s/1Z2zXLeo5NI4lFGaYXLvr9Q?pwd=BAYJ ",【直播SLG互动养成全动态官中】,未开始,,SS,"1 https://pan.xunlei.com/s/VOXdHQNDtChya7QMuu_rY53yA1?pwd=dvu5#
",https://pic.moebox.io/album/SLG150.XaLQJ
BAYJSLG151,15,,,,,5,2026年2月16日 02:23,20,,,,,本身是ASMR+图改游戏，游戏性极少，生肉看不懂还有bug,【SLG汉化PC安卓调教触摸】《罗丽诱拐》绑架恶作剧模拟 《ロリ誘拐》連れ去り悪戯シミュレーション yuukai 【3.36G】,,,2026年2月19日 02:39,《罗丽诱拐》绑架恶作剧模拟 《ロリ誘拐》連れ去り悪戯シミュレーション yuukai 【3.36G】,0,,15,"1 https://pan.baidu.com/s/1NQrpnuTj8AAVPr1mTFjyHw?pwd=bayj 提取码:bayj ",【SLG汉化PC安卓调教触摸】,未开始,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A 55,,
BAYJSLG151,15,,,1,,5,2026年2月16日 02:23,20,,,,,本身是ASMR+图改游戏，游戏性极少，汉化加鸡腿,【SLG汉化PC安卓调教触摸】《罗丽诱拐》绑架恶作剧模拟 《ロリ誘拐》連れ去り悪戯シミュレーション yuukai 草草内嵌汉化【1.8G】,,,2026年2月19日 02:39,《罗丽诱拐》绑架恶作剧模拟 《ロリ誘拐》連れ去り悪戯シミュレーション yuukai 草草内嵌汉化【1.8G】,5,,15,"1 https://pan.baidu.com/s/1NQrpnuTj8AAVPr1mTFjyHw?pwd=bayj 提取码:bayj ",【SLG汉化PC安卓调教触摸】,未开始,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 60,1,
BAYJSLG152,,,,https://drive.uc.cn/s/fdd86251160d4?public=1,,,2026年2月16日 02:23,,六一特辑,,,,,【PC+安卓/触摸/SLG/动态/步兵】迷失的生命lost life 1.52双端内置作弊+同社团四部(tokiko1+2+犬公主+良い梦)+赠品（剧情视频+特典露出番外视频+画集）【3.3G】,,,2026年2月16日 19:32,迷失的生命lost life 1.52双端内置作弊+同社团四部(tokiko1+2+犬公主+良い梦)+赠品（剧情视频+特典露出番外视频+画集）【3.3G】,,,,"https://pan.baidu.com/s/1tG0unZEZZwIL6SM1XA59vA  提取码: BAYJ ",【PC+安卓/触摸/SLG/动态/步兵】,未开始,,SS,https://pan.xunlei.com/s/VOeMfzpkQHOz1-xHaNXg_0-FA1?pwd=58id#,https://pic.moebox.io/album/SLG152.XOyoD
BAYJSLG154,,,,1,,,2026年2月16日 02:23,,7月DL热门新作十一部,,,,DL7月新作，有游戏性，但是不怎么涩,【战略SLG/ACT/3D作品/全动态/官中】目标！哥布林大师2（目指せ！ゴブリンマスター2）V1.0正式版 DL官中附存档【2.4G】,,,2026年2月16日 19:32,目标！哥布林大师2（目指せ！ゴブリンマスター2）V1.0正式版 DL官中附存档【2.4G】,,,,7月DL热门新作十一部,【战略SLG/ACT/3D作品/全动态/官中】,未开始,,S,1,
BAYJSLG153,,,,,,,2026年2月16日 02:23,,,,,,,【日式SLG/新官中/双端/Live2DxASMR】 上吧！辣妹酱2 ～乳交篇、骑乘位篇～ ヤっちゃえ!ギャルちゃん2 ～パイズリ編、騎乗位編～ v1.1 双端 官中版+动画版+特典 【2.80G】,,,2026年2月16日 19:32,上吧！辣妹酱2 ～乳交篇、骑乘位篇～ ヤっちゃえ!ギャルちゃん2 ～パイズリ編、騎乗位編～ v1.1 双端 官中版+动画版+特典 【2.80G】,,,,1,"【日式SLG/新官中/双端/Live2DxASMR】 ",未开始,,SS,,
BAYJSLG155,,,,1,,,2026年2月16日 02:23,,,,,,DL7月新作，优化不太行，汉化有问题,【爆款3D全动态机翻】3D痴汉体验 无限触摸！～ 摸摸摸，摸到爽！～（3D痴◯体験 おさわりホーダイ！〜 触って触って、触りまくれ！〜）V1.0.1 机翻汉化【1.4G】,,,2026年2月16日 19:32,3D痴汉体验 无限触摸！～ 摸摸摸，摸到爽！～（3D痴◯体験 おさわりホーダイ！〜 触って触って、触りまくれ！〜）V1.0.1 机翻汉化【1.4G】,,,,7月DL热门新作十一部,【爆款3D全动态机翻】,未开始,,A,1,
BAYJSLG156,,,,https://drive.uc.cn/s/5879cdb2eb834?public=1,,,2026年2月16日 02:23,,,,,,DL7月新作，新汉化版本，像素动态很好，但内容还是不够丰富,【爆款SLG像素全动态汉化】身体测量师的工作（身体測定士のおしごと）V1.0.2 吹雪个人汉化版+全存档【300M】,,"【触摸检查提升”亲密度”！身体测量H模拟器】
作为少子化对策的一环，新设立的职业资格「身体测量师」
刚取得资格的你，今天迎来了首个工作日！
为了让她们更健康
来进行细致入微的身体检查吧！
反复检查提升”亲密度”后
说不定会有”好事情”发生哦…
○检查项目共计31种+α
（全部采用精心制作的像素动画）
○操作方式：键盘
◆注意事项◆
本作品使用Action Game Maker MV引擎制作
部分PC环境可能无法正常运行，购买前请务必通过试玩版确认兼容性
启动游戏可能需要20~30秒加载时间",2026年2月16日 19:32,身体测量师的工作（身体測定士のおしごと）V1.0.2 吹雪个人汉化版+全存档【300MB】,,,,"https://pan.baidu.com/s/1sx1ymoQHGBAhm2BvQjNybQ?pwd=BAYJ ",【爆款SLG像素全动态汉化】,未开始,,S,1,
BAYJSLG157,,,,,,,2026年2月16日 02:23,,,,,,"帮找的，玩了一下感觉相当不错，高自由度的沙盒。
附带作弊器，我的世界我做主AWA。",【沙盒SLG/PC+安卓/汉化/2D/更新】修复者/调停者/修理工/The Fixer带作弊器 Ver0.3.4.10【750M】,,"原名：The Fixer 
游戏介绍：
修复者是一部生活模拟视觉小说。你扮演主角萨曼莎的角色，她是一名修复者。
为了解决雇主的问题，她必须面对不同的挑战，例如调查工业破坏，派系之间的外交和追踪麻烦制造者。
但她需要以某种方式在处理任务的同时继续她的日常生活。
在玩完其中一个起源故事后，萨曼莎发现自己在 Blaston，被城市的主要权力基地救出，作为回报，她同意作为“修复者”为他们工作，使用机智、外交或卑鄙的手段解决潜在的敏感问题。
她会设法改变小镇及其权力掮客，还是会与Blaston的大多数居民一起陷入堕落和绝望的深渊？
更新日志:
当前版本: 0.3.4.10
修复了导致 Dani 和 Anabel 对话崩溃的一些错误
修复了单独与安娜贝尔对话时的通用对话",2026年2月16日 19:32,修复者/调停者/修理工/The Fixer带作弊器 【Ver0.3.4.10】【750M】,,,,"https://pan.baidu.com/s/1k8XM_1qHBvLcFOkVps9-gQ?pwd=BAYJ
https://pan.xunlei.com/s/VO_Mk0C6igv6GWEDNMJFqZp-A1?pwd=4kez
https://drive.uc.cn/s/b671eb5e967a4?public=1",【SLG/PC+安卓/汉化/2D/更新】,未开始,,A,,https://pic.moebox.io/album/SLG157.XkZPO
BAYJSLG158,,,,,,,2026年2月16日 02:23,,"◆故事
就像是曾经读过的童话故事一般，从邪恶的恶魔手中救出公主吧。
与从封印中醒来的恶魔（被害人）堵上灵魂的生死决斗。
被施加在自大公主身上的诅咒究竟是？
降临在自大公主身上的恐怖的解除方法。
居然是以会话之名的魔法来俘获公主的心，以及通过高超的技巧来政府她的肉体！
是要让公主变成狗？还是女人呢？全部都交由你来判断…

更新日志：
v2.0更新介绍·
除了第一天的故事和精神崩溃
添加了一些新发型。
添加新服装“水手服”",,,,,【互动SLG/官中/触摸/PC+安卓】恶魔石板与被诅咒的犬公主 Unity2.0版重置版+1.07PC+安卓作弊版【1.1G】,,"◆故事
就像是曾经读过的童话故事一般，从邪恶的恶魔手中救出公主吧。
与从封印中醒来的恶魔（被害人）堵上灵魂的生死决斗。
被施加在自大公主身上的诅咒究竟是？
降临在自大公主身上的恐怖的解除方法。
居然是以会话之名的魔法来俘获公主的心，以及通过高超的技巧来政府她的肉体！
是要让公主变成狗？还是女人呢？全部都交由你来判断…
◆恶魔的拼图
和恶魔的神经衰弱比赛！
麻烦？
请不用担心，就算是输了也可以通过技能系统在有利的状态下重新进行战斗！
◆H功能
第一人称的触摸Flaish游戏。
全篇使用了手绘的30FPS动画带来的自由触摸体验。
还有便利的AUTO功能和惯用手切换，根据抽插的强度反应也会变化，等。
◆MWS（Magic Word System）
新搭载的随机会话系统。
通过「鼓励」「恶作剧」「赞扬」等对话来向公主的心灵施加影响，回复自己的精力。
而且每次对话，都可以享受到不一样的反应。",2026年2月16日 19:32,恶魔石板与被诅咒的犬公主 Unity2.0版重置版+1.07PC+安卓作弊版【1.1G】,,,,"https://pan.baidu.com/s/1tG0unZEZZwIL6SM1XA59vA 提取码: BAYJ 
https://pan.xunlei.com/s/VOeMfzpkQHOz1-xHaNXg_0-FA1?pwd=58id# 
https://drive.uc.cn/s/fdd86251160d4?public=1",【互动SLG/官中/触摸/PC+安卓】,未开始,,S,,https://pic.moebox.io/album/SLG158.XmWq4
BAYJSLG159,,"概述  :
变形的力量，以任何你认为合适的方式改变你的身体，一种由来历不明的怪物强加给你，一个 18 岁的男孩的力量。
你将如何使用这种力量？引诱？杀人？或者你只是想无忧无虑地过上大学新生的生活？
无论你选择什么，这都不是一段轻松的旅程。保护你的秘密免受周围人类的侵害。揭开其他像你一样的超人的秘密。增强你的力量来面对造就你的怪物。
你能做到吗？你能在这个可怕的世界里生存下来吗？也许……一路上享受一些爱和欲望？
试一试，找出答案。
恋物癖的东西，比如陷阱、ntr 等等，都是可选的",,https://drive.uc.cn/s/e49fd79b0ae34?public=1,,,2026年2月16日 02:23,,,,,,题材是好题材，但这画风是真难以接受,【SLG/精翻/PC+安卓】超人 Superhuman v0.9999b 画廊解锁【6G】,,"概述  :变形的力量，以任何你认为合适的方式改变你的身体，一种由来历不明的怪物强加给你，一个 18 岁的男孩的力量。你将如何使用这种力量？引诱？杀人？或者你只是想无忧无虑地过上大学新生的生活？
无论你选择什么，这都不是一段轻松的旅程。保护你的秘密免受周围人类的侵害。揭开其他像你一样的超人的秘密。增强你的力量来面对造就你的怪物。
你能做到吗？你能在这个可怕的世界里生存下来吗？也许……一路上享受一些爱和欲望？试一试，找出答案。
恋物癖的东西，比如陷阱、ntr 等等，都是可选的""",2026年2月16日 19:32,超人 Superhuman v0.9999b 画廊解锁【6G】,,,,,【SLG/精翻/PC+安卓】,未开始,,B,1,https://pic.moebox.io/album/SLG159.XRdV4
BAYJSLG160,,,,,,,2026年2月16日 02:23,,"整合了几位贴吧大佬的精翻汉化补丁，现在汉化相当完美了
附全cg存档+通关存档+分别与五位女角色结婚的存档(修改全属性max)
如果有之前的版本，直接下载补丁包覆盖即可
其实还有一些大佬做的mod，但是存在冲突报错就不放了",,,,DL8月新作，游戏性强，但不够涩，有强制牛注意,【爆款日式RPG/战斗H/NTR/精翻汉化】地下城与新娘（ダンジョンアンドブライド）V1.30 精翻汉化附存档整合包【2.4G】,,"■卡关提示
通关北极星神庙后，将开设一家新的魔法商店用你在那里买的东西返回海鸥村
与布鲁重聚活动结束后，你将能够前往在此之前说“让我们回头”无法继续的地方。首先，从海鸥村南门返回勇敢镇，前往他在勇敢镇的藏身处
除了 Elase Magic，诺斯罗普村的魔法商店还出售一种非常重要的魔法。
水神庙水中有两根铁棍（地上一共三根）
拿到动力手环后，让我们快速游览大洞穴中的 B3
在大洞B6的宝库中，除了与恶魔的战斗之外，还有一件重要事件。
如果穆尔·穆尔复活了，他将有一段时间无法进入上帝的山，但这很正常。
如果找到神秘之眼（千里眼）的魔法，一定要购买它。它可以在多种情况下使用。
水龙庙B3的西北区域必须以某种方式浇水
要打败吸血鬼领主，你需要使用一个更重要的物品 让我们再次仔细看看城堡地图。
一旦进入亡灵沼泽，就无法出去，但有办法出去让我们彻底检查一下南方的沼泽
在酒店活动中，寻找一扇通往您无法进入的房间的隐藏门。上锁的房间可以稍后进入。 钥匙不在酒店
测试盔甲的第三个任务并不容易出来 您需要将另一件相同类型的盔甲与顶部和底部的物品掉落相匹配",2026年2月16日 19:32,地下城与新娘（ダンジョンアンドブライド）V1.30 精翻汉化附存档整合包【2.4G】,,,,https://pan.baidu.com/s/1u-PA11CLUQqjXiHOGYevjQ?pwd=bayj,【爆款日式RPG/战斗H/NTR/精翻汉化】,未开始,,S,https://pan.xunlei.com/s/VOXOibH5J5aIj4JQ4ToebWfTA1提取码：prt8,
BAYJSLG161,,,,,,,2026年2月16日 02:23,,"整合了几位贴吧大佬的精翻汉化补丁，现在汉化相当完美了
附全cg存档+通关存档+分别与五位女角色结婚的存档(修改全属性max)
如果有之前的版本，直接下载补丁包覆盖即可
其实还有一些大佬做的mod，但是存在冲突报错就不放了",,,,DL8月新作，游戏性强，但不够涩，有强制牛注意,【爆款日式RPG/战斗H/NTR/精翻汉化】地下城与新娘（ダンジョンアンドブライド）V1.22 精翻汉化附存档整合包【2.2G】,,"■卡关提示
通关北极星神庙后，将开设一家新的魔法商店用你在那里买的东西返回海鸥村
与布鲁重聚活动结束后，你将能够前往在此之前说“让我们回头”无法继续的地方。首先，从海鸥村南门返回勇敢镇，前往他在勇敢镇的藏身处
除了 Elase Magic，诺斯罗普村的魔法商店还出售一种非常重要的魔法。
水神庙水中有两根铁棍（地上一共三根）
拿到动力手环后，让我们快速游览大洞穴中的 B3
在大洞B6的宝库中，除了与恶魔的战斗之外，还有一件重要事件。
如果穆尔·穆尔复活了，他将有一段时间无法进入上帝的山，但这很正常。
如果找到神秘之眼（千里眼）的魔法，一定要购买它。它可以在多种情况下使用。
水龙庙B3的西北区域必须以某种方式浇水
要打败吸血鬼领主，你需要使用一个更重要的物品 让我们再次仔细看看城堡地图。
一旦进入亡灵沼泽，就无法出去，但有办法出去让我们彻底检查一下南方的沼泽
在酒店活动中，寻找一扇通往您无法进入的房间的隐藏门。上锁的房间可以稍后进入。 钥匙不在酒店
测试盔甲的第三个任务并不容易出来 您需要将另一件相同类型的盔甲与顶部和底部的物品掉落相匹配",2026年2月16日 19:32,地下城与新娘（ダンジョンアンドブライド）V1.22 精翻汉化附存档整合包【2.2G】,,,,https://pan.baidu.com/s/1u-PA11CLUQqjXiHOGYevjQ?pwd=bayj,【爆款日式RPG/战斗H/NTR/精翻汉化】,未开始,,S,https://pan.xunlei.com/s/VOXOibH5J5aIj4JQ4ToebWfTA1提取码：prt8,
BAYJSLG162,,夏之音。辣妹、宅男与放学后的秘密时光。 汉化+补丁+存档,,https://drive.uc.cn/s/8c82330ccc694?public=1,,,2026年2月16日 02:23,,wnovo汉化,,,,现在是，幻想时间,【3D游戏/AI汉化/去码】 夏之音。辣妹、宅男与放学后的秘密时光 夏ノ音。ギャルと、オタクと、秘密の放課後。 AI汉化+步兵补丁+存档【1.5G】,,"◆游戏概要◆
◆与美少女辣妹共度放学后的秘密亲密时光◆
你是一名17岁的高中宅男，痴迷动漫、漫画与音乐。居住在都市高层公寓的14楼。有一天，班上的人气辣妹白音透华来你家看漫画！渐渐亲密的你和她，一起打牌，一起吃饭，在阳台上聊天。
沉浸式3D放学后模拟游戏《夏之音》。
请尽情享受你与透华之间，珍贵而梦幻的专属放学后时光。
◆推荐给这样的你！◆・渴望沉浸体验与辣妹的放学后同居生活・想琢磨与可爱辣妹的微妙距离感・希望被突然搭讪的宅男友好型辣妹・想享受虚幻引擎打造的精致画面游戏・试图闯入辣妹洗澡现场并惹恼她・期待自由掌控亲密行为时机
◆其他◆
◇运行确认环境◇【推荐环境】CPU：Intel Core i5-12600KF内存：16GB实验室：GeForce RTX3060 12GB作系统：Windows 11
",2026年3月1日 17:20,夏之音。辣妹、宅男与放学后的秘密时光 夏ノ音。ギャルと、オタクと、秘密の放課後。 AI汉化+步兵补丁+存档【1.5G】,,,," https://pan.baidu.com/s/1X-0pvC4zm_mFfdHDWkWj7A?pwd=BAYJ","【3D游戏/AI汉化/去码】 ",未开始,,S,https://pan.xunlei.com/s/VOYQPeo_mmBIUP9mZ9iE5tnKA1?pwd=kavx,https://pic.moebox.io/album/SLG162.XYMJa
BAYJSLG163,,,,1 https://drive.uc.cn/s/d3cff5332a544?public=1,,,2026年2月16日 02:23,,更新,,,,,【日式SLG/3D/动态/新作】 NTR偶像 - 梦之约定 NTRアイドル - 夢の約束 官中步兵版附全cg存档 【3.50G】,,,2026年2月16日 19:32,NTR偶像 - 梦之约定 NTRアイドル - 夢の約束 官中步兵版附全cg存档 【3.50G】,,K更新2.03,,1 https://pan.baidu.com/s/1nbEO2o-Xsdfb8vYkJQVe4Q?pwd=bayj,"【日式SLG/3D/动态/新作】 ",未开始,,S,1 https://pan.xunlei.com/s/VOYH6_eMrQ2oA6Pd_IOpqFsOA1?pwd=duwp#,
BAYJSLG164,,,,https://drive.uc.cn/s/2e89050b76704?public=1,,,2026年2月16日 02:23,,,,,,这游戏玩法设定有点逆天,【日式SLG/动态/新作】 刮出吧！子宫迷宫 掻き出し！子宮ラビリンス 内嵌AI汉化版附存档 【610M】,,,2026年2月16日 19:32,刮出吧！子宫迷宫 掻き出し！子宮ラビリンス 内嵌AI汉化版附存档 【610M】,,,," https://pan.baidu.com/s/198l6blFU0kWGC_GoXMMDSw?pwd=BAYJ","【日式SLG/动态/新作】 ",未开始,,A,https://pan.xunlei.com/s/VOYQQP_e_fv0EL_ZQdTKmzejA1?pwd=hhdj,
BAYJSLG165,,,,https://drive.uc.cn/s/e770d31363594?public=1,,,2026年2月16日 02:23,,,,,,,【日式SLG/3D/NTR/动态/新作】 和我的女朋友试着发生关系2 ～混浴温泉～ 僕の彼女とヤッてみる2 ～混浴温泉～ Ver1.01 AI汉化版带全回想 【2.10G】,,"▼系列第二弹
本次舞台为“温泉”。
※本作与前作的角色及剧情无任何关联。
即便是首次接触的玩家，也可安心从本作开始享受。这是一款需要时刻关注时间（即使什么都不做时间也会实时流逝）、
通过点击画面内选项或指令的游戏。

指令包括对话、灌酒、使用道具等多种方式。
画面内也藏有重要道具（机关），
看准时机使用即可对女友产生影响。
若什么都不做只是发呆，
女友会直接睡觉或心情变差，瞬间导致游戏结束，请务必注意！",2026年2月16日 19:32,和我的女朋友试着发生关系2 ～混浴温泉～ 僕の彼女とヤッてみる2 ～混浴温泉～ Ver1.01 AI汉化版带全回想 【2.10G】,,,,https://pan.baidu.com/s/13Q5AhiAmMTu65UgiE6uJiw?pwd=BAYJ,"【日式SLG/3D/NTR/动态/新作】 ",未开始,,S,https://pan.xunlei.com/s/VOYq5XYXCkzDGE8-3jTFgSA0A1?pwd=vx3p,
BAYJSLG166,,"【游戏介绍】
「我一定会将你从妖魔手中救出！」
在回家途中，刚离开车站时，男子被“某种东西”附身了。
就在这时，一位姿态奇特的少女出现了。
她说道：“你被妖魔附身了。”
接着又说：“我会救你的。”
此刻，与狩猎妖魔的少女“命”之间的战斗，正式拉开序幕。

【作品概要】
・这是一款命令选择型战斗游戏，玩家将扮演“被妖魔附身的男子”，与狩猎妖魔的少女“命”展开战斗或亲密互动。
・战斗中会出现多个亲密场景的分支，根据推进方式的不同，共有4种不同的结局。

【特点】
・可自定义女主角对玩家角色的称呼姓名。
・战斗系统采用带主动条的命令式战斗，通过积攒行动条可施展各种技能。
・包含衣物破坏要素。
・根据战斗内容可获得技能点数，消耗技能点可强化状态或学习各类技能。
・玩家技能包括“推倒”、“眩晕”、“拘束”、“挑衅诱发逆亲密攻击”等，对应多种亲密互动方式。
・战斗中包含对话环节，根据战斗和对话内容将分支至4种结局（不含坏结局）。
・每个结局均配有专属亲密场景，已解锁的场景可随时回看。
・战斗中的亲密场景包含正常位、后背位、骑乘位等多种体位，加上视角差分共超过40种亲密场景。
・亲密场景中可自由调整衣物穿着，内射可随时触发，女主角的快感度也可自由调整。
・所有正式互动均为内射，且每位体位均配有独立的内射动画，杜绝“活塞动作多样但射精场景单一”的情况。
・多数亲密场景配备透明断面表现，可开启/关闭。
・内射动画支持手动模式，可重复播放特定动作。",,https://drive.uc.cn/s/6335406ddec74?public=1,,,2026年2月16日 02:23,,,,,,25.8.28大名鼎鼎的jsk工房新作，一如既往的风格玩法，全回想解锁,【JSK新作/SLG】退魔少女美琴 退魔少女ミコト 内嵌AI汉化版+全存档 【1.4G】,,"[游戏介绍]
「我一定会将你从妖魔手中救出！」
在回家途中，刚离开车站时，男子被“某种东西”附身了。
就在这时，一位姿态奇特的少女出现了。
她说道：“你被妖魔附身了。”
接着又说：“我会救你的。”
此刻，与狩猎妖魔的少女“命”之间的战斗，正式拉开序幕。

[作品概要]
・这是一款命令选择型战斗游戏，玩家将扮演“被妖魔附身的男子”，与狩猎妖魔的少女“命”展开战斗或亲密互动。
・战斗中会出现多个亲密场景的分支，根据推进方式的不同，共有4种不同的结局。
[特点]
・可自定义女主角对玩家角色的称呼姓名。
・战斗系统采用带主动条的命令式战斗，通过积攒行动条可施展各种技能。
・包含衣物要素。
・根据战斗内容可获得技能点数，消耗技能点可强化状态或学习各类技能。
・玩家技能包括“推倒”、“眩晕”、“挑衅诱发逆亲密攻击”等，对应多种亲密互动方式。
・战斗中包含对话环节，根据战斗和对话内容将分支至4种结局（不含坏结局）。
・每个结局均配有专属亲密场景，已解锁的场景可随时回看。
・战斗中的亲密场景加上视角差分共超过40种亲密场景。
・亲密场景中可自由调整衣物穿着",2026年2月16日 19:32,退魔少女美琴 退魔少女ミコト 内嵌AI汉化版+全存档 【1.4G】,,,,https://pan.baidu.com/s/1OHbTlWlNmEce7l2A8CuB7g?pwd=BAYJ,"【JSK新作/SLG】 ",未开始,,S,https://pan.xunlei.com/s/VOZ4gle5_mEp8uSXMeWjvbLsA1?pwd=mn6m,
BAYJSLG167,,,"KLW, LW, XH",https://drive.uc.cn/s/ad0d5b9bf74e4?public=1,,,2026年2月16日 02:23,,,,,,雌小鬼萝莉还是挺不错的，可惜还没上垒。作者说V0.3完结,【亚洲风3D/动态/M向】魔女的侵袭：黛博拉的房间 Deborah's Room v0.3.0 官方中文步兵版+全CG存档【3G】,,,2026年6月8日 18:57,魔女的侵袭：黛博拉的房间 Deborah's Room v0.3.0 官方中文步兵版+全CG存档【3G】,,,,https://pan.baidu.com/s/1w3wKEiuFQCdYYffGHxeaOw?pwd=rt46,"【亚洲风3D/动态/M向】 ",未开始,,S,https://pan.xunlei.com/s/VOhH68zRLe2HG4du6c_gVoI_A1?pwd=qqvi#,https://pic.moebox.io/album/SLG167.XRy8T
BAYJSLG168,,,,1,,,2026年2月16日 02:23,,,,,,"动画还是不错的,steam正式版，立绘和cg动画很赞，可惜游戏性不足",【新作SLG/暗示】淫眠App~用春梦让妳成为老子的女人!~ 淫眠アプリ~淫夢で俺の女になれ!~ Ver1.02 Steam官中步兵版+全回想存档 [560M],,"梦境模拟游戏。
努力在毕业之前，成功与女主角交往吧！
在夜晚的梦境中,白天在学校时
游戏过程中，要想办法降低对方的排斥感，提高好感。
并且利用获得的点数向使徒换取力量，让攻略更顺利。
毕业之前如果无法顺利攻略，只要使徒的时光回溯力量集满就能回到过去继续挑战。
",2026年2月16日 19:32,YMApp~用春梦让妳成为老子的女人!~ YMアプリ~YMで俺の女になれ!~ Ver1.02 Steam官中步兵版+全回想存档 [560M],,,,"https://pan.baidu.com/s/1kLfOo31TRy-gVyWZWFwc7Q?pwd=BAYJ
https://pan.xunlei.com/s/VOa5MirDvYi79mLPrNwkRa0VA1?pwd=96qx
https://drive.uc.cn/s/f844607f15b54?public=1",【新作SLG/暗示】,未开始,,A,1,
BAYJSLG169,,,"KLW, LW",https://drive.uc.cn/s/e758fada16314?public=1,,,2026年2月16日 02:23,,超真剣Studio,,,,,[PC/互动SLG/动态/NTL/像素]水管工传说 Ver1.06 Handyman.Legend.v1.0.6官中步兵版+存档[2.1G],,,2026年3月30日 09:16,水管工传说 Ver1.06 Handyman.Legend.v1.0.6官中步兵版+存档[2.1G],,https://pan.baidu.com/s/1ub6Me30W5xsouL9SvB8zgA 提取码: s2by,,,[PC/互动SLG/动态/NTL/像素],未开始,SS精品，绝对值得品鉴,SS,https://pan.xunlei.com/s/VOnfQyMmVvJJ2h2wQjep9Zm-A1?pwd=xmyi#,https://pic.moebox.io/album/SLG169.XuYxF
BAYJSLG170,,,,1,,,2026年2月16日 02:23,,,,,,神作，部分删减,【亚洲风QSP真人动态修复版】 亚洲之子：东方之乡 SOA就是个混蛋 V70 如诗如画修复版 官方中文版+全DLC+MOD 删减报错版 【65.30G】,,,2026年2月16日 19:32," 亚洲之子：东方之乡 SOA就是个混蛋 V70 如诗如画修复版 官方中文版+全DLC+MOD 删减报错版 【65.30G】",,更新SLG220,,1,【亚洲风QSP真人动态修复版】,未开始,,SSS,1,
BAYJSLG171,,,,,,,2026年2月16日 02:23,,,,,,,【SLG/中文/解密/无码官中】 寻找女孩FogOne Seek Girl:Fog I 【1G】,,,2026年2月16日 19:32,寻找女孩FogOne Seek Girl:Fog I 【1GB】,,,,1,"【SLG/中文/解密/无码官中】 ",未开始,,S,,
