文件ID,搜索,排雷 评价,备注,更新日志,预览,百度,迅雷,UC,FB,版本及更新时间等,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,CV质量10分，音声10分（20分）,游戏性|玩法，好不好玩？（15分）,内容cg丰富度（15分）,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,封面,攻略,DL号|社团|作者,最后修改时间,创建时间,视频,类型,游戏名大小
BAYJSLG331,[SLG/PC/新作] 与流民少女共谱的食堂繁荣记 流民娘と始める食堂繁盛記 v1.0.0带全解锁[1G],自定义，可以自行写h事件，导入h事件,,"■ 序章 ■
你是刚刚在街角开了一家小食堂的新手店主。
为了得到这家店，你不得不接受一个条件——
那就是，要收留一名被当作奴隶买卖的“流民之女”作为员工。
做饭、迎客、打理店务的忙碌日常。
而在夜晚，你还可以让雇来的员工为你提供“夜间服务”……
会遇到怎样的女孩，这取决于你的选择。
由你与专属的搭档共同谱写的食堂经营故事。",https://pic.moebox.io/album/SLG331.XpUBO,https://pan.baidu.com/s/1L-PAVj2P7TdpUNzxsAz66A?pwd=8tb2,https://pan.xunlei.com/s/VOky9dMPVMKgiu5aIQr22UkPA1?pwd=wa2m#,https://drive.uc.cn/s/7b0c39bf5baa4?public=1,,,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A 45+,15,10,5,10,5+,,,,,2026年2月19日 02:41,2026年2月16日 02:23,未开始,"[SLG/PC/新作] ",与流民少女共谱的食堂繁荣记 流民娘と始める食堂繁盛記 v1.0.0带全解锁[1G]
BAYJSLG333,[PC/精品SLG/动态/CV/更新步兵]无条件服从 無条件の服従 官中步兵版 [4.8G],硬控两个半小时，发现是ASMR+CG播放器，人物重复过高，部分镜头何意味,,"发行日期:
即将推出
开发者:
Yamada Mikio
发行商:
Yamada Mikio
作品内容
本作品中所有登场角色均为成年人。
革新的游戏系统
我们正在开发的游戏，是一种联动动画与现实的全新互动体验。
当游戏中的女性角色发出指令时，玩家需执行”屏住呼吸”、”持续注视指定位置”、”轻拍自己脸颊”等动作，并同时完成【特殊动作】。
最后，只有当角色发出【结束】信号的瞬间，玩家才能”XD”…(笑)获得释放。
新的视角，新的体验
游戏模式介绍
包括”寸止挑战”等模式。参与者根据挑战的难度级别逐步提高难度，若不严格遵守规则，游戏的乐趣就会被破坏。
当然，也有可能攻略女王大人哦…呵呵！
奖励与惩罚系统
若玩家在未获许可前射精，则将无法继续观看后续的影像和故事。
自然，只有坚持到最后的玩家才能体验真正的调教。
在初始阶段，玩家仅能视觉接触腿部、股沟、臀部等特定部位，这不仅增强了兴奋感，更通过规则的束缚，在玩家与游戏之间构建了真正的互动体验。
说到底，正因为有规则，才能称之为”游戏”。",https://pic.moebox.io/album/SLG333.XpxyJ,https://pan.baidu.com/s/1trj_VWnIDYZ2Lsk5o-hy5g?pwd=8uq8,https://pan.xunlei.com/s/VOl79M1lWjmViFQZfraQATvBA1?pwd=emyp#,https://drive.uc.cn/s/8e19fe3783ac4?public=1,,,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 65,10,25,20,0,10,,,,,2026年2月19日 02:41,2026年2月16日 02:23,未开始,[PC/精品SLG/动态/CV/更新步兵],无条件服从 無条件の服従 官中步兵版 [4.8G]
BAYJSLG319,[PC/精品SLG/NTR/更新后宫结局]欢迎来到性感酒吧!! セクキャバへようこそ!! v1.20 官方中文版+存档 [2.5G],,,"游戏简介：
登场人物
凛（可变更）
原为1级国民，因破产沦为3级国民
性格是傲娇？
对即使沦为下层国民仍态度不改的主人公怀有好感
铃羽（可变更）
3级国民
温柔性格且拥有巨乳
与主人公是青梅竹马关系亲密，曾传出恋人绯闻
但因吉田的阴谋导致分手
凯吉
主人公们的原同班同学，1级国民
曾多次向凛告白遭拒
趁其沦为3级国民之际，企图将其变成性奴○
吉田
主人公们的前任教师，2级国民
学生时代便纠缠铃羽
企图将两人变成自己的妾室
游戏概要
〇类型
・寝取被模拟
〇剧情
・近未来阶级社会中主人公处于最底层
　青梅竹马的女主角被迫在性俱乐部工作
・主人公靠打工维持生计并频繁光顾性俱乐部
　能否守护她免受情敌侵扰，最终修成正果!?
游戏核心玩法
・打工赚取金钱，持续光顾性酒吧
　与女主角亲密互动，最终步入婚姻
性酒吧系统
・点单高档酒水，享受陪侍服务
・可实施脱衣及肢体接触
・提升兴奋度即可带入密室
性史追踪
・通过科幻风格图表与计量表显示性行为次数
　实时掌握女主角状态变化
更新日志：
Ver1.20
更新内容如下：
・新增后宫结局
・修复了有时无法观看 H 剧情中失去处女身事件的问题",https://pic.moebox.io/album/SLG319.XpDCa,https://pan.baidu.com/s/1C0GWai3i34r0DcpSABjQKQ?pwd=s4q6,https://pan.xunlei.com/s/VOl2XmoKTtCVSTZKKw8Ng9IFA1?pwd=6cw8#,https://drive.uc.cn/s/d6db3d9612d24?public=1,,,B不及格，被图骗进来的,B 40,15,10,0,5,10,,,,,2026年2月19日 02:41,2026年2月16日 02:23,未开始,[PC/精品SLG/NTR/更新后宫结局],欢迎来到性感酒吧!! セクキャバへようこそ!! v1.20 官方中文版+存档 [2.5G]
BAYJSLG295,[PC/触摸SLG/CV/纯爱/动态]邂逅晨雾：香烟的残香与黎明的你 出会い朝霧煙草の残り香と夜明けの君 Ver1.20 官方中文版 [330M],老烟民和僵尸的故事（bushi）,,"【游戏简介】
有一天，他的长期女友千纱突然宣布她要出国留学。
争吵、生气、被耽搁……
这一切都是徒劳，结果似乎已经注定。
在剩下的最后五天里，两人仿佛心照不宣，没有谈论未来会发生什么，只是享受当下，仿佛什么都没发生过。
他们拥抱的每一刻，双唇相贴的每一个瞬间，都比以往任何时候都更加强烈、更加深情、更加真挚。而此刻的千纱，似乎与他记忆中的那个女孩截然不同；她看起来格外迷人。
【角色介绍】
晨雾中的邂逅：黎明时分的烟草气息与你 [猫语]
由于害怕未来，并且对自己的未来感到不确定，她决定结束这段感情。
二人の会話はいつも身体を重ねることで終わる――それは愛情表現であり、同時に現実から目を背けるための逃避でもある。
然而，一旦它们与你亲近，它们就会出奇地顺从，表现得像一只寻求关爱的小猫。
【高度沉浸式和多样化的互动】
晨雾中的邂逅：黎明时分的烟草气息与你 [猫语]
除了高度沉浸式的 Live2D 角色之外，
它包含多种互动方式，包括抚摸头部、触摸乳房、爱抚和舔舐。
——千纱现在不会拒绝你了。
【全程语音女主角】
晨雾中的邂逅：黎明时分的烟草气息与你 [猫语]
声优“天咲莉梦”将倾情演绎
千纱的声音里充满了对你的感情，她不愿与你分离。
游戏全程语音配音，营造出更加真实、更加紧张刺激的游戏体验。
在对话中，你可以根据自己的感受选择回应方式。
千纱对他的每一个字都仔细斟酌。
【本作品的特点】
-精准细腻的视觉表达
女主角千纱以完整声线出场
丰富的互动营造出逼真的沉浸式体验
-多角度沉浸式体验，可在第一人称和第三人称视角之间切换
Unity × Live2D 用于角色 Live2D 特效，兼容所有场景
-支持4K高分辨率",https://pic.moebox.io/album/SLG295.XaJV2,https://pan.baidu.com/s/1yzp4LQOfX_jLDlxOHinUVw?pwd=d6pq,https://pan.xunlei.com/s/VOj52x6As_VERFmyF7RO9IkOA1?pwd=h8ff#,https://drive.uc.cn/s/0401e49195574?public=1,,,B不及格，被图骗进来的,B 50,10,20,15,0,5,,,,,2026年2月19日 02:41,2026年2月16日 02:23,未开始,[PC/触摸SLG/纯爱/动态],邂逅晨雾：香烟的残香与黎明的你 出会い朝霧煙草の残り香と夜明けの君 Ver1.20 官方中文版 [330M]
BAYJSLG265,[PC/SLG/动态/更新]【删减内容】：SexCP-069 v1.0.19 官中步兵版+ASMR特典+全CG存档 [2.2G],,,"更新日志
v1.0.19
修正错误与调整爱心解锁流程
这次修正与调整项目：
调整爱心解锁流程
修正林绫韩文名称错误问题
调整佐佐木晴香的感应部位
调整线索维持在画面上的时间
过去调整项目
增加解析度2K、4K以及全萤幕视窗化选项
调整九十九真渊心声语音错误问题
调整在自由模式下不再提升警戒值
调整感知技能的名称
修正设定介面重复呼叫错误
修正ASMR脚本错误
修正羽奈中文名称错误问题",https://ibb.co/album/N6kvpy,"https://pan.baidu.com/s/18Hbtf8IeeFkXVefkcVF5xg?pwd=BAYJ ","https://pan.xunlei.com/s/VOggY17-KuXO-qNEPLopz3QeA1?pwd=gdji#
",https://drive.uc.cn/s/1a38bf282c764?public=1,,,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,S 70,15,25,10,10,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,[PC/SLG/动态/更新],【删减内容】：SexCP-069 v1.0.19 官中步兵版+ASMR特典+全CG存档 [2.2G]
BAYJSLG265,[PC/SLG/动态/更新]【删减内容】：SexCP-069 v1.0.15 官中步兵版+ASMR特典+全CG存档 [2.2G],,,"遊戲概述
平靜表象下的現代都市，一個未知存在悄然甦醒。
你將扮演誕生自深層慾望的異常，潛藏於人群之中，在城市的角落蔓延滋長。
你要收集目標角色的資訊，並使用特殊能力，讓她們成為真實的自我、沉溺其中——你將不再受任何限制。
游戏特色
探索系統 城市被迷霧籠罩，需透過感知一點一滴揭露地圖，挖掘角色心聲。
目標鎖定與解析 透過角色的內心與日常行動掌握其破綻，鎖定最佳行動時機。
能力運用與控制進程 每位角色有各自弱點，使用恰當的方式逐步瓦解其戒心，讓她們接受真正的自己。
風險管理 若太過激進導致地區警戒升高，將可能觸發███介入，影響你後續行動。
角色介绍
主要角色
羽奈｜偶像
「只要我笑着，大家就不会发现我快撑不下去了。」
现役人气偶像，表面光鲜亮丽，实则内心崩溃、渴望依赖他人又充满控制欲。她的防线，一旦崩溃将彻底失控。
佐佐木晴香｜人妻
「这个家、这份责任……我真的甘愿吗？」
温柔贤淑的家庭主妇，安稳的心却藏着难以言说的空虚。她渴望被理解，却不敢跨出一步。
小桃｜超商店员
「我才没那麽容易就动心，欸嘿♥」
每天打两份工的活力女孩，表面毫无防备，却对「特别的视线」十分敏感。
次要角色
林綾｜研究員
「……你，到底是什麼？」
天才研究員，對各種異常都有著極大興趣。對怪異來說最危險的存在。
九十九真淵｜日風酒吧老闆娘
來自芥川組的情慾系VTuber 九十九真淵 飾
「你這雙眼睛…十分有趣。」
沉靜、神秘的成熟女性，掌握著各種人脈與情報，微醺的夜是她最為放鬆的時光，也是最好攻陷的瞬間。
雪之下織雪｜香氛按摩師
來自芥川組的情慾系VTuber 雪之下織雪 飾
「想知道你的壓力從哪來嗎？」
用香氣與觸感引導情緒的專家，實則精神狀態不穩，是容易被干涉的高風險對象。
一切都還只是開始。",https://ibb.co/album/N6kvpy,"https://pan.baidu.com/s/18Hbtf8IeeFkXVefkcVF5xg?pwd=BAYJ ","https://pan.xunlei.com/s/VOggY17-KuXO-qNEPLopz3QeA1?pwd=gdji#
",https://drive.uc.cn/s/1a38bf282c764?public=1,,,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 70,15,25,10,10,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,[PC/SLG/动态/更新],【删减内容】：SexCP-069 v1.0.15 官中步兵版+ASMR特典+全CG存档 [2.2G]
BAYJSLG255,【国产SLG/伦理/PC+安卓kr/动态】[不是小十七] 好色小姨1-9 完结版[6G],,,,,https://pan.baidu.com/s/1W_qlJOhFtv4QPjNkRC1d2Q?pwd=BAYJ,1,https://drive.uc.cn/s/137d5a9bcfb34?public=1,,,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A,10,10,0,0,15,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,【国产SLG/伦理/PC+安卓kr/动态】,[不是小十七] HS小姨1-9 完结版[6G]
BAYJSLG230,[神作SLG/安卓]美德v17 全章节 完结精翻汉化版,,,,,"https://pan.baidu.com/s/1hQl7ui0KWJEqun4_DWoLLQ?pwd=BAYJ ","https://pan.xunlei.com/s/VOc0cCSKMmkrxUZ7tTm_JKtcA1?pwd=uzd4 ",https://drive.uc.cn/s/4661555e137f4?public=1,,,SSS神作，夯爆，必吃,SSS 100,30,30,10,15,15,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,[神作SLG/安卓],美德v17 全章节 完结精翻汉化版
BAYJSLG231,[互动SLG/新作/全CV/全动态]极限改造·魔法少女与神秘符文 極限改変・魔法少女ミスティックルーン Ver1.0.0 DL官方中文版+全解锁存档 [700M],节奏还是慢了点，ce搜不到数值，但是调教直播有bug可以刷数值，不用担心钱，会逐渐给钱。最后奖励额外内容还是可以的,,,https://pic.moebox.io/album/SLG231.XmpDl,"https://pan.baidu.com/s/1roICb_E1OfzDWks4mIP1AA?pwd=BAYJ
https://pan.xunlei.com/s/VOcaPwjxxj62RjlX8M4g-b9yA1?pwd=ms4q 
https://drive.uc.cn/s/58cb6d170da84?public=1",1,1,,,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 65,15,20,10,10,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,[互动SLG/新作/全CV/全动态],极限改造·魔法少女与神秘符文 極限改変・魔法少女ミスティックルーン Ver1.0.0 DL官方中文版+全解锁存档 [700M]
BAYJSLG232,[SLG/新作/PC] 无人岛社员旅行记 女性们的生存战略 無人島社員旅行記 女たちの生存戦略AI汉化版 正式版+通关存档+修改初始存档+全CG [1.45G],适合喜欢慢节奏的，好感和风纪逐渐变化带来的事件对话变涩,,,https://pic.moebox.io/album/SG232.XmkOa,"https://pan.baidu.com/s/1skVpGSVIGQuSAeSPCrlg0A?pwd=BAYJ 
https://pan.xunlei.com/s/VOceJAS_1H9oiuoEr3bcERqpA1?pwd=whmk 
https://drive.uc.cn/s/75d2085123a04?public=1",1,1,,,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,60 S,20，剧情和设定比较好,10,10，声音很动人,15,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,"[SLG/新作/PC] ",无人岛社员旅行记 女性们的生存战略 無人島社員旅行記 女たちの生存戦略AI汉化版 正式版+通关存档+修改初始存档+全CG [1.45G]
BAYJSLG232,[SLG/新作/PC+安卓MTool/更新] 无人岛社员旅行记 少女们的生存战略 無人島社員旅行記 女たちの生存戦略 V1.0.5 AI汉化版+通关存档+修改初始存档+全CG [1.4G],"第五页我放了两个存档，一个是修改数值物资齐全即将通关可以继续爽玩或进结局的存档（适合打不过的doge），
一个修改饱食度/水99999基本没难度的初始存档（适合没玩过的又不想玩得太坐牢的）",,,https://pic.moebox.io/album/SG232.XmkOa,"https://pan.baidu.com/s/1skVpGSVIGQuSAeSPCrlg0A?pwd=BAYJ 
https://pan.xunlei.com/s/VOceJAS_1H9oiuoEr3bcERqpA1?pwd=whmk 
https://drive.uc.cn/s/75d2085123a04?public=1",1,1,,,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,60 S,20，剧情和设定比较好,10,10，声音很动人,15,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,"[SLG/新作/PC+安卓MTool/更新] ",无人岛社员旅行记 少女们的生存战略 無人島社員旅行記 女たちの生存戦略 V1.0.5 AI汉化版+通关存档+修改初始存档+全CG [1.4G]
BAYJSLG233,【PC/3D/动态/触摸/沙盒】暗魅之城 Yami-Yami City~V1.20精翻汉化步兵+全CG存档+作弊码[10G],高自由度沙盒，相比刚出的时候有了全面提升优化，值得一品。作弊码一键全开。,"游戏开始后，在菜单直接键盘输入“touka”。
在弹出的输入栏中，输入“yukemuriseethrough”，然后按下 Enter（回车）键。
--
--
所有女性角色将被添加到通讯录中。
所有女性角色的好感度将变为MAX（最大），且费用全免、H场景中的动作全部解锁。","更新日志
v1.2.0
新地图追加：新增地图场景“夜间泳池 (Night Pool)”。
新角色追加：新增 5 名可攻略的新妹子。
新姿势追加：增加了“接吻”与“乳交”的H动作交互。
画面优化：大幅改善了乳首的细节表现。
功能优化：增加了H过程中的“身体透明化”开关；修复了之前的内存泄漏Bug。
游戏简介：
正宗夜游模拟RPG！
舞台设定于都市的夜晚繁华街。
众多店铺中，聚集了超过40位各式各样的女孩！
聪明地赚钱，与女孩交涉→直奔爱情旅馆。
服装选项与亲密房间内容也十分充实！
尽情享受夜街的乐趣！配置：内存32GB起、GPU：RTX3060起",https://pic.moebox.io/album/SLG233.XOJFl,"https://pan.baidu.com/s/1zJ-mqXEn2WpQIK_VygrYVw?pwd=BAYJ ",https://pan.xunlei.com/s/VOcv0WchT1dxmZITp_hddcvXA1?pwd=dhwx,https://drive.uc.cn/s/7cc30cbf3df24?public=1,,,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 70,20,25,10,10,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,【PC/3D/动态/触摸/沙盒】,暗魅之城 Yami-Yami City~V1.20精翻汉化步兵+全CG存档+作弊码[10G]
BAYJSLG234,【SLG/3D/汉化/PC+安卓/动态/更新】后宫偶像 Harem Idol Ver6.0+作弊存档+全画廊解锁【4.3G】,,,"游戏介绍：
后宫偶像讲述了一个年轻人利用自己超凡的人气赢得各地女性芳心的故事
凭借无与伦比的魅力和无可挑剔的形象，他的愿望远远超出了单纯的浪漫追求。
 
更新日志
当前版本: 6.0 (2025/10/27)
 
增加了 3+ 名新女孩（Xiuyig、Soojin 和 Jihye）
新增3个VIP活动
添加了超过 26 个成人事件、72 个成人动画和 50 个成人场景
为特定角色添加了 Hndjob、F**tjob 和 Sx",https://pic.moebox.io/album/SLG234.XRVBr,"https://pan.baidu.com/s/15LACQtEw1lrGqhVGY9mGWg?pwd=BAYJ 
https://pan.xunlei.com/s/VOdEBJYaiASaxkKQrl4mWXoOA1?pwd=j7fm
https://drive.uc.cn/s/2814a7ba47844?public=1 ",1,1,,,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A 50,10,10,5,10,15,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,【SLG/3D/汉化/PC+安卓/动态/更新】,后宫偶像 Harem Idol Ver6.0+作弊存档+全画廊解锁【4.3G】
BAYJSLG237,[亚洲风SLG/更新/PC] 我又幻想了 I Antasized Again v0.30a STEAM官中步兵版+DLC+全CG [2.6G],画风和cg很顶,,"发行日期:
2025 年 11 月 2 日
开发者:MouseKKK
发行商: MouseKKK
游戏介绍
《我又幻想了》是一款亚洲SLG游戏，官方中文步兵版来袭！扮演主人公竹，在幻想世界中自由选择人生道路。锻炼还是堕落？你的选择将决定剧情走向，解锁丰富动态事件，体验与御姐的互动！数值驱动，时间流逝，每个行动都影响你的未来。巨乳、长腿，满足你的幻想！
游戏内容
这是一款以[幻想]为基调的剧情游戏，游戏中你将扮演主人公[竹]，来进行各种事情。
根据你所选择的事物不同，将会触发不同的结果。 在游戏你可以选择锻炼，努力来改善自己的生活，同时你也可以自甘堕落。
你所做的所有选择将会影响今后的结果
此游戏是以时间和各种数值驱动的游戏。
例如[锻炼值][幻想值]，各项数值的驱动会导致在不同的时间触发不同的结果。
游戏会根据你的不同行动解锁不同的剧情。",https://pic.moebox.io/album/SLG237.XRawN,"https://pan.baidu.com/s/1HAxC9NQGwCM4I0KtKAIrXQ?pwd=BAYJ
https://pan.xunlei.com/s/VOdYW-1NboILxVkF9Ajxa9ctA1?pwd=baun# 
https://drive.uc.cn/s/5ffd85ea70ef4?public=1",,,,,S总体中规中矩，在某方面能达到精品甚至神作，值得一试,S 70,20,20,10,10,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,"[亚洲风SLG/更新/PC] ",我又幻想了 I Antasized Again v0.30a STEAM官中步兵版+DLC+全CG [2.6G]
BAYJSLG235,【SLG/动态/PC+安卓】曦升之城/日光 Heliorise v0.2.0 AI汉化赞助版+存档【6.4G】,质量很高，建模90分，索菲亚100分！，动画甚至还有运镜，绝了。人物介绍会随着事件推进而增加,,"游戏介绍：
从小，您就是一个没有家人的孤儿。
但在你成年的那一天，一封神秘的信来了——你有一个姐姐。
她住在世界上最大的城市——赫利奥丽丝，真诚地邀请您重逢。
她真的是你失散多年的家人吗？为什么现在就到达？
这么多年过去了，她想要什么？
只有一件事是肯定的 -你的生活即将永远改变……
变更日志：
大家好，第一集終於來了！對於第一章的發布延期如此之久，我深感抱歉。
這並非我的本意，只是生活中一些意想不到的事情迫使我暫停了遊戲的開發。
我真誠地向所有訂閱者致歉。
作為補償，我將提供專屬獎勵，並補發過去幾個月缺少的壁紙和額外圖片。
這些內容將在未來幾週內陸續發布。
第一章完整更新內容：
新增1932張渲染圖6個動畫場景80首新音樂曲目11,000
行程式碼重要提示：由於我疏於維護程式碼，
舊的存檔檔案可能無法正常運作。請使用新的存檔檔案開始遊戲！
目前版本（0.2.0）幾乎包含了所有內容。
但是，翻譯、安卓版本、部分過場動畫、獎勵圖片、
一些用戶介面更新以及最終製作人員名單仍然缺失。
我會盡快發布補丁來添加這些內容。",https://pic.moebox.io/album/SLG235.XRSK1,"https://pan.baidu.com/s/1l1bDwZ8b1RNbN8ofIg3Dtg?pwd=BAYJ ","https://pan.xunlei.com/s/VOe1uRScbSLOGxyhjGXvnOq0A1?pwd=hzrw# ",https://drive.uc.cn/s/8ecb10c3f3a74?public=1,,,SS精品，绝对值得品鉴,SS 75,20,25,10,10,10,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,【SLG/动态/PC+安卓】,曦升之城/日光 Heliorise v0.2.0 AI汉化赞助版+存档【6.4G】
BAYJSLG256,【国产SLG/伦理/PC+安卓kr/全动态/全CV】[不是小十七]航空公司的丝袜艳母1+2 官中步兵[2.4G],,,"游戏概述：
女主是空姐，因为与儿子乱x而离婚了，随后便彻底沦为儿子的玩物，玩各种羞耻play，淫荡无极限，她飞曼谷航线，儿子就让她去曼谷街头玩夜行露出，她被人介绍相亲，儿子就故意让相亲对象看她被玩弄的视频，本作台词到位，气氛到位，演绎到位，各种生活细节拉满
不是小十七的作品！还是跟以前作品差不多改编自步非烟有声短剧，这次带来的是【航空公司的丝袜艳母】",https://pic.moebox.io/album/SLG256.XafDa,https://pan.baidu.com/s/1a1EH_4gnmYhBfcWSZQqKHQ?pwd=s5w1,https://pan.xunlei.com/s/VOjQSQO0bp7sdbkq7Ic13ZAaA1?pwd=rdik#,https://drive.uc.cn/s/9b8c29533bbf4?public=1,,,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A 50,15,20,10,0,5,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,【国产SLG/伦理/PC+安卓kr/全动态/全CV】,[不是小十七]航空公司的丝袜艳母
BAYJSLG259,[PC/精品/互动SLG/动态/纯爱/大更新]傻乎乎主播蔚来——永远属于你的，由香里酱！No-good Streamer 官方中文版+新DLC+全CG存档 [7.12G],,彼岸余烬的抖音 - 抖音,"DLC：Forever Yours, Yukari-chan No-good Streamer Mirai-chan! DLC
        あなたが大好きゆかりちゃん～ぽんこつ生主ミライちゃんDLC～
作品内容
“本作品为《No-good Streamer Mirai-chan! (Now accepting lewd comments)[zh Ver.](RJ01418526)》的DLC,无法单独游玩。
请先购买《No-good Streamer Mirai-chan! (Now accepting lewd comments)[zh Ver.](RJ01418526)》本体,再在此基础上体验本DLC内容。”
新增要素
“在本DLC中,将新增本篇中作为配角登场的「由香利」的回想场景及限定直播内容。
・回顾
游佐由香利if线「或许存在的另一个故事」
・限定直播
二人独处杂谈直播
随性直播(色色)”Story：
平平无趣的日子
渐渐有了新的生机。
主人公是个有在打工的平凡大学生。
目前的生活虽然波澜不惊，却总让人感觉少了些什么。
曾万般憧憬的独居生活，实际体验后却也仅此而已。
「要是每天都能过得更有趣点就好了。」
某日，主人公隔壁搬来了个特别怕生的女孩。
她就是认出了自己的主播蔚来。
她还有个叫由香利的朋友。
和她们的相遇，正悄然改变着你的生活。
与主播的H交流：
和有点蠢萌的女主播未来酱进行色色的互动，让直播更热闹吧！
就算说“给我看看你的胸部”这种性骚扰发言也没关系！
说不定兴奋起来的未来酱会延长直播，甚至给你特别的服务哦？
全新DLC
本DLC是在游戏本体中添加剧情和场景的扩展内容。
您可以点击主菜单左上角的 DLC 按钮进入新增的剧情和场景。
DLC中可体验的内容：
①if线全新剧情
如果搬到你隔壁的不是未来，
而是由香利，将会发生什么呢……？
这是一段「曾经可能存在过」的if线故事。
②仅属于二人的愉快杂谈直播
无论是怎样细致入微的问题
都尽情向由香利提问吧——
当然，她也会有求必应。
③最懂你的色色直播
她会（尽力）满足你的所有需求。
从撸管、舌吻，甚至是后庭都可以……！？
如此「能干」的由香利，怎能错过？
新增要素
在本DLC中，将新增本篇中作为配角登场的「由香利」的回想场景及限定直播内容。
・回顾
游佐由香利if线「或许存在的另一个故事」
・限定直播
二人独处杂谈直播
随性直播（色色）
ASMR! My First Raw Sex Stream
故事
本ASMR为本篇游戏的后日谈内容。
你与撸主们的色色日常仍在继续，不仅与蔚来的关系一如既往地亲密，由香利的「性骚扰」也依然如影随形。
就在如此的日常之下，某天，蔚来因一件事来找你商量。",https://pic.moebox.io/album/SLG259.XZi4r,"https://pan.baidu.com/s/1Hf3Y3mc398g1k9FxAg-dLg?pwd=BAYJ ",https://pan.xunlei.com/s/VOkKBXwAtR9o-Re5qRL_hJ9LA1?pwd=z9de#,https://drive.uc.cn/s/500ca3f83f874?public=1,,,SSS神作，夯爆，必吃,SSS 90,25,20,20,10,15,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,[PC/精品/互动SLG/动态/大更新],傻乎乎主播蔚来——永远属于你的，由香里酱！No-good Streamer 官方中文版+新DLC+全CG存档 [7.12G]
BAYJSLG261,[新作SLG/PC+安卓/NTR]画面的背后 画面のウラガワ AI汉化+存档[1G],虽然潦草但是挺涩，就是内容少了点,,"故事梗概
因父母工作调动，主人公转学至都市里的重点学校——珍珍高校。
在这座纪律严明、学风严谨的学园中，身着整齐制服的学生们井然有序。
在此环境下，主人公邂逅了三位少女。
随着与她们的交流互动，主人公的日常正悄然发生改变。
而后他意外发现了学校的匿名网站——上面正不定期更新着本校女生的私密照片……
作品内容
专为手机差分打造的轻量级ADV！！！
基础HCG15张～！
预计游戏时长1～1.5小时！
没有冗长对话环节！流畅解锁CG！
全新角色DLC将持续追加！
玩法说明
推进日常对话即可解锁HCG。
在对话前选择HCG，体验手机差分画面的乐趣！
回忆模式
可自由组合已解锁的HCG、背景、角色与表情。
DLC预告
计划推出可追加新女主角的DLC！
每款DLC将新增2-3名角色及对应的新场景。",https://pic.moebox.io/album/SLG261.XigxO,"https://pan.baidu.com/s/1m9jVGJ8QHXiDmKByAdBZMA?pwd=BAYJ ","https://pan.xunlei.com/s/VOgWOqDQYY09r0XwMv33QMG4A1?pwd=dtha#
",https://drive.uc.cn/s/b4318f96c26f4?public=1,"KLW, LW, XH",,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A 45,20,20,0,0,5,,,,,2026年2月19日 02:40,2026年2月16日 02:23,未开始,[新作SLG/PC+安卓/NTR],画面的背后 画面のウラガワ AI汉化+存档[1G]
